49	500	519	705
50	494	528	742
51	499	593	711
52	490	483	720
53	477	481	769
54	482	557	774
55	381	562	658
56	360	295	809
57	434	475	629
58	538	467	735
59	847	339	675
60	731	401	735
61	764	366	741
62	658	357	766
63	522	466	679
64	309	404	761
65	410	501	743
66	379	497	681
67	381	457	751
68	541	510	678
69	592	564	724
70	689	563	693
71	951	523	728
72	691	504	715
73	720	472	807
74	532	463	639
75	337	413	736
76	383	482	751
77	352	475	675
78	392	531	733
79	485	494	755
80	717	376	715
81	904	547	729
82	706	569	696
83	689	523	796
84	595	547	739
85	481	499	653
86	250	453	715
87	505	569	763
88	325	512	692
89	292	539	697
90	529	467	719
91	725	420	765
92	891	482	772
93	718	526	737
94	622	448	763
95	561	479	679
96	385	444	667
97	385	429	848
98	418	525	698
99	409	574	711
100	433	494	730
101	571	522	720
102	626	533	805
103	605	558	708
104	599	471	735
105	730	510	789
106	595	434	808
107	595	566	723
108	527	559	690
109	314	397	717
110	350	491	717
111	313	438	672
112	431	434	711
113	554	472	725
114	667	461	774
115	747	468	819
116	729	454	833
117	586	432	751
118	620	497	762
119	521	484	646
120	362	406	700
121	314	445	721
122	338	467	680
123	389	421	733
124	563	477	736
125	575	459	740
126	673	468	763
127	712	444	789
128	680	497	742
129	618	487	777
130	566	481	771
131	483	469	667
132	406	426	703
133	296	416	659
134	379	439	739
135	429	429	745
136	551	433	732
137	629	421	794
138	741	463	793
139	802	506	824
140	636	413	779
141	637	459	753
142	555	474	751
143	419	452	662
144	330	453	684
145	282	451	637
146	385	453	717
147	477	483	725
148	589	520	715
149	638	479	705
150	693	402	838
151	802	486	820
152	638	418	761
153	595	459	762
154	507	489	713
155	418	442	697
156	324	450	684
157	293	452	626
158	366	417	738
159	468	495	703
160	505	487	753
161	634	456	805
162	649	463	763
163	703	467	821
164	610	443	758
165	585	475	792
166	538	503	698
167	323	371	630
168	290	409	739
169	338	465	670
170	414	415	775
171	546	520	748
172	542	504	718
173	567	481	729
174	645	499	802
175	707	528	788
176	662	483	772
177	562	437	702
178	480	430	679
179	417	405	798
180	367	447	695
181	370	436	744
182	429	472	711
183	455	496	683
184	626	465	795
185	557	476	695
186	795	505	970
187	620	448	770
188	602	463	775
189	495	439	756
190	446	482	639
191	353	457	707
192	385	508	681
193	402	483	711
194	384	479	661
195	408	420	662
196	574	517	751
197	593	503	725
198	677	499	777
199	665	490	818
200	594	478	789
201	578	507	771
202	536	488	699
203	381	405	620
204	296	412	692
205	327	463	686
206	386	443	752
207	468	467	708
208	553	512	725
209	621	493	755
210	661	500	772
211	702	493	873
212	573	429	794
213	586	477	732
214	480	460	643
215	331	455	627
216	290	466	680
217	358	494	689
218	394	458	748
219	493	495	741
220	554	509	739
221	576	467	784
222	655	483	826
223	645	463	787
224	582	448	741
225	551	462	716
226	427	422	728
227	303	434	666
228	328	509	648
229	337	460	727
230	424	467	684
231	537	515	738
232	545	490	745
233	632	438	781
234	730	478	804
235	667	469	747
236	593	445	772
237	579	463	791
238	473	444	683
239	321	402	670
240	298	454	673
241	328	485	647
242	397	433	719
243	494	470	683
244	600	467	759
245	672	479	770
246	727	461	835
247	659	473	769
248	619	464	767
249	531	455	683
250	398	414	639
251	339	457	703
252	255	417	622
253	402	428	771
254	474	444	723
255	541	509	701
256	523	437	730
257	656	433	775
258	747	499	800
259	624	441	765
260	604	497	773
261	483	457	725
262	411	459	640
263	330	459	666
264	279	428	665
265	361	406	759
266	473	476	712
267	507	452	695
268	680	402	816
