36	524	531	723
37	524	531	723
38	524	530	723
39	524	530	723
40	523	530	723
41	524	530	723
42	524	530	723
43	524	530	723
44	524	530	723
45	524	530	723
46	523	530	723
47	524	530	724
48	524	530	723
49	524	530	723
50	523	530	723
51	524	531	723
52	523	530	723
53	524	530	723
54	524	530	723
55	523	530	723
56	524	531	724
57	523	530	723
58	514	527	726
59	525	530	724
60	521	526	723
61	526	535	721
62	525	529	738
63	564	548	809
64	551	498	781
65	526	513	725
66	549	545	716
67	548	545	715
68	545	535	732
69	549	540	728
70	547	557	693
71	538	567	675
72	551	571	649
73	547	572	618
74	551	569	634
75	562	567	661
76	551	564	704
77	533	564	714
78	528	549	754
79	521	547	755
80	517	540	770
81	501	532	720
82	502	521	725
83	516	522	742
84	519	511	730
85	512	520	779
86	505	515	786
87	509	525	749
88	511	529	729
89	512	533	717
90	530	544	698
91	553	547	707
92	553	556	720
93	579	550	715
94	557	553	691
95	552	561	660
96	548	565	663
97	572	563	654
98	565	557	694
99	536	557	692
100	530	563	712
101	555	570	688
102	530	554	711
103	548	547	755
104	527	547	759
105	509	535	697
106	518	530	759
107	509	534	756
108	494	527	706
109	496	521	719
110	505	523	774
111	507	518	775
112	505	514	777
113	507	518	753
114	505	532	726
115	511	547	716
116	537	553	704
117	544	554	703
118	555	553	702
119	561	551	718
120	569	551	699
121	545	565	692
122	546	574	655
123	545	574	669
124	555	574	654
125	568	573	645
126	561	554	691
127	530	555	692
128	523	555	721
129	535	548	750
130	530	540	755
131	514	535	742
132	508	535	732
133	491	550	752
134	479	530	774
135	493	520	704
136	511	516	826
137	497	518	767
138	523	520	749
139	520	537	699
140	521	540	711
141	537	547	696
142	534	556	679
143	553	562	702
144	558	567	692
145	560	576	615
146	554	575	650
147	550	573	666
148	544	582	652
149	522	581	687
150	516	568	686
151	533	555	689
152	534	540	718
153	484	533	737
154	493	530	772
155	490	536	721
156	500	512	763
157	486	478	867
158	521	510	812
159	515	503	801
160	496	512	744
161	508	527	714
162	516	535	710
163	527	540	705
164	534	543	688
165	551	554	674
166	554	555	678
167	544	568	621
168	554	572	605
169	559	575	642
170	568	540	746
171	537	540	728
172	521	543	721
173	520	546	752
174	519	530	775
175	517	514	758
176	499	511	745
177	490	508	744
178	497	511	800
179	545	504	820
180	516	506	796
181	503	515	760
182	511	525	726
183	526	535	694
184	558	534	715
185	537	536	700
186	563	553	662
187	581	562	644
188	541	587	626
189	565	577	648
190	551	590	645
191	556	592	684
192	545	577	692
193	537	563	708
194	519	546	729
195	503	527	779
196	497	526	756
197	484	517	751
198	523	507	823
199	514	492	844
200	492	497	780
201	507	513	708
202	541	513	723
203	505	538	694
204	553	545	687
205	561	554	684
206	559	563	671
207	565	584	569
208	529	571	662
209	531	582	606
210	557	569	661
211	539	558	717
212	524	552	769
213	509	535	772
214	505	527	751
215	511	506	763
216	477	516	818
217	498	509	840
218	477	507	774
219	505	514	722
220	531	534	696
221	539	548	657
222	527	553	701
223	549	556	734
224	563	562	641
225	557	583	627
226	568	556	593
227	529	576	645
228	533	580	679
229	539	594	670
230	503	579	732
231	477	552	776
232	492	528	797
233	455	535	718
234	504	541	741
235	473	515	855
236	475	495	827
237	493	499	802
238	535	521	743
239	548	523	744
240	503	544	666
241	540	543	679
242	559	562	637
243	569	574	629
244	558	583	618
245	573	571	649
246	541	575	650
247	535	577	668
248	548	578	666
249	542	554	691
250	505	519	757
251	501	510	810
252	486	525	756
253	498	513	851
254	487	496	825
255	500	493	791
256	510	520	726
257	528	527	728
258	491	534	663
259	537	542	631
260	556	555	635
261	586	566	586
262	569	575	594
263	524	559	674
264	521	563	679
265	513	577	714
266	486	567	743
267	480	545	816
268	536	497	779
269	520	485	783
270	476	519	781
271	499	499	827
272	488	491	799
273	526	501	766
274	519	513	727
275	520	534	692
276	531	545	676
277	536	560	651
278	582	572	614
279	583	580	559
280	557	572	648
281	519	585	638
282	516	557	700
283	498	542	756
284	502	525	782
285	496	512	793
286	504	484	846
287	494	443	976
288	488	421	920
289	508	512	674
290	452	519	504
291	503	521	427
292	522	519	379
293	529	517	611
294	469	492	907
295	470	472	999
296	520	456	994
297	518	470	902
298	508	500	720
299	509	521	572
300	487	540	468
301	548	545	441
302	555	544	605
303	513	551	719
304	370	535	935
305	501	463	982
306	481	442	937
307	527	452	912
308	529	518	568
309	515	538	535
310	479	546	442
311	512	534	477
312	517	533	615
313	478	512	855
314	478	429	1022
315	544	437	975
316	557	444	947
317	516	500	702
318	531	511	647
319	414	523	561
320	466	543	389
321	566	540	530
322	595	529	690
323	478	479	853
324	473	446	1017
325	575	427	1010
326	557	439	996
327	515	544	535
328	498	522	542
329	438	523	490
330	496	526	422
331	563	527	603
332	544	551	708
333	493	500	829
334	604	439	1015
335	516	419	926
336	502	476	893
337	506	545	558
338	506	529	512
339	458	544	485
340	529	561	503
341	546	582	569
342	464	474	887
343	471	368	1022
344	541	386	1007
345	556	425	884
346	548	501	738
347	438	541	522
348	431	555	457
349	513	556	420
350	596	553	585
351	495	478	779
352	412	406	948
353	570	382	963
354	534	390	966
355	466	457	831
356	436	509	521
357	475	521	478
358	524	555	375
359	538	557	530
360	536	540	740
361	463	487	893
362	506	431	999
363	589	372	1001
364	536	421	935
365	480	516	574
366	442	516	537
367	492	558	452
368	499	554	401
369	489	539	616
370	524	473	896
371	523	346	1022
372	605	391	931
373	554	448	858
374	503	506	741
375	435	540	602
376	457	531	423
377	503	543	400
378	560	521	484
379	516	529	785
380	455	520	938
381	551	465	1022
382	499	478	925
383	515	515	824
384	491	498	720
385	474	505	506
386	544	534	446
387	551	556	468
388	535	558	602
389	502	529	729
390	403	506	868
391	525	467	1022
392	487	471	866
393	497	519	821
394	457	532	605
395	467	537	516
396	561	547	417
397	534	523	555
398	612	526	684
399	508	557	740
400	468	477	1022
401	551	399	1022
402	507	478	863
403	479	529	674
404	442	506	602
405	484	520	465
406	576	532	434
407	581	510	513
408	544	564	628
409	458	562	811
410	425	484	1023
411	528	445	1004
412	527	506	871
413	502	535	652
414	426	524	567
415	499	519	544
416	551	528	449
417	555	522	484
418	552	541	698
419	419	548	887
420	552	451	1022
421	587	458	928
422	482	483	871
423	514	510	881
424	470	538	719
425	495	513	517
426	550	542	497
427	590	553	531
428	543	535	639
429	549	559	641
430	537	586	746
431	511	587	785
432	488	559	752
433	488	523	825
434	505	540	786
435	436	532	812
436	449	508	896
437	476	518	760
438	539	514	772
439	499	539	688
440	523	549	594
441	543	546	570
442	590	540	524
443	547	527	647
444	535	543	715
445	529	567	747
446	493	561	758
447	481	536	803
448	480	516	738
449	487	496	757
450	507	509	725
451	508	497	735
452	511	484	701
453	515	491	711
454	533	498	715
455	506	522	725
456	523	513	723
457	523	514	723
458	524	514	723
459	523	515	723
460	524	514	724
461	523	515	723
462	524	515	724
463	524	515	724
464	524	515	723
465	524	516	724
466	524	515	723
467	524	515	724
468	524	515	724
469	524	515	724
470	524	515	723
471	524	515	723
472	524	515	724
473	523	515	723
474	524	515	724
475	524	515	723
476	524	515	724
477	523	514	723
478	524	515	724
479	524	515	723
480	524	515	723
481	524	515	724
482	524	515	724
483	523	516	724
484	524	516	723
485	523	515	724
486	524	515	724
487	524	515	724
488	523	515	724
489	524	516	724
490	524	516	724
491	524	516	723
492	524	516	723
493	523	515	724
494	524	516	723
495	524	515	723
496	524	515	723
497	524	516	723
498	523	515	724
499	524	515	723
500	524	516	723
501	524	516	724
502	524	516	723
503	524	516	723
504	524	515	724
