255,8941,5310,8149
256,8935,5336,8149
257,8928,5361,8146
258,8924,5361,8140
259,8924,5386,8142
260,8920,5415,8142
261,8915,5438,8140
262,8910,5460,8134
263,8905,5480,8134
264,8902,5501,8131
265,8900,5501,8128
266,8900,5519,8123
267,8897,5535,8123
268,8894,5552,8119
269,8892,5563,8122
270,8891,5575,8122
271,8890,5586,8127
272,8890,5586,8126
273,8890,5600,8124
274,8891,5615,8120
275,8890,5631,8111
276,8886,5649,8114
277,8882,5660,8114
278,8880,5677,8113
279,8878,5677,8110
280,8878,5693,8109
281,8877,5712,8106
282,8874,5733,8101
283,8870,5753,8098
284,8868,5772,8098
285,8867,5791,8096
286,8864,5791,8087
287,8864,5810,8085
288,8861,5836,8083
289,8858,5858,8082
290,8853,5879,8085
291,8846,5898,8085
292,8841,5919,8082
293,8840,5919,8076
294,8840,5936,8074
295,8837,5956,8073
296,8834,5975,8074
297,8830,5997,8072
298,8828,6016,8072
299,8824,6035,8073
300,8820,6035,8070
301,8820,6052,8069
302,8818,6071,8068
303,8814,6086,8067
304,8812,6101,8062
305,8812,6110,8062
306,8810,6115,8062
307,8806,6115,8059
308,8806,6116,8057
309,8812,6114,8053
310,8809,6113,8052
311,8808,6104,8048
312,8811,6094,8048
313,8815,6083,8041
314,8816,6083,8037
315,8816,6072,8032
316,8819,6058,8029
317,8819,6040,8021
318,8823,6023,8015
319,8824,6010,8008
320,8828,5997,8008
321,8834,5997,8005
322,8834,5989,8002
323,8835,5979,7996
324,8838,5972,7992
325,8841,5965,7987
326,8840,5959,7985
327,8842,5949,7985
328,8842,5949,7979
329,8842,5939,7977
330,8843,5934,7971
331,8842,5929,7972
332,8845,5923,7966
333,8845,5917,7963
334,8844,5911,7963
335,8842,5911,7961
336,8842,5903,7962
337,8845,5900,7958
338,8847,5900,7957
339,8849,5902,7960
340,8850,5901,7958
341,8853,5903,7958
342,8849,5903,7961
343,8849,5911,7959
344,8846,5917,7958
345,8843,5922,7960
346,8840,5923,7959
347,8841,5927,7957
348,8839,5935,7957
349,8834,5935,7961
350,8834,5938,7959
351,8831,5941,7956
352,8824,5942,7953
353,8823,5947,7955
354,8822,5952,7956
355,8817,5954,7956
356,8814,5954,7956
357,8811,5954,7961
358,8811,5953,7959
359,8806,5954,7955
360,8805,5946,7953
361,8805,5934,7956
362,8804,5925,7956
363,8801,5925,7952
364,8804,5912,7957
365,8804,5899,7960
366,8804,5885,7962
367,8803,5869,7959
368,8806,5846,7955
369,8808,5821,7955
370,8811,5821,7956
371,8814,5793,7956
372,8814,5762,7953
373,8817,5731,7954
374,8821,5700,7952
375,8823,5666,7957
376,8826,5632,7957
377,8833,5632,7956
378,8841,5598,7953
379,8841,5562,7953
380,8844,5532,7951
381,8850,5502,7947
382,8855,5474,7942
383,8859,5447,7942
384,8859,5447,7941
385,8860,5420,7939
386,8860,5396,7941
387,8866,5371,7941
388,8872,5348,7940
389,8875,5321,7935
390,8876,5292,7935
391,8880,5292,7931
392,8880,5257,7927
393,8880,5220,7926
394,8878,5183,7921
395,8880,5150,7914
396,8885,5111,7909
397,8889,5076,7909
398,8892,5076,7908
399,8897,5036,7905
400,8897,5002,7899
401,8904,4965,7896
402,8908,4931,7892
403,8912,4899,7889
404,8918,4871,7889
405,8921,4871,7892
406,8926,4845,7888
407,8926,4821,7886
408,8932,4795,7887
409,8938,4767,7883
410,8942,4742,7882
411,8944,4716,7882
412,8946,4686,7880
413,8951,4686,7879
414,8951,4660,7875
415,8955,4634,7875
416,8962,4607,7872
417,8964,4581,7866
418,8972,4558,7866
419,8981,4536,7865
420,8984,4536,7865
421,8984,4508,7862
422,8991,4484,7859
423,8996,4452,7863
424,9002,4422,7864
425,9010,4388,7864
426,9010,4355,7868
427,9029,4355,7866
428,9029,4315,7866
429,9033,4274,7862
430,9039,4225,7858
431,9051,4172,7851
432,9061,4119,7851
433,9071,4062,7848
434,9087,4062,7843
435,9087,3999,7838
436,9103,3937,7835
437,9113,3872,7827
438,9128,3805,7816
439,9140,3736,7816
440,9158,3666,7810
441,9170,3666,7805
442,9170,3593,7796
443,9187,3522,7792
444,9200,3449,7783
445,9219,3373,7773
446,9234,3299,7773
447,9248,3228,7759
448,9260,3228,7755
449,9260,3159,7743
450,9277,3092,7732
451,9290,3026,7724
452,9300,2964,7718
453,9309,2910,7718
454,9318,2855,7717
455,9327,2855,7717
456,9327,2805,7714
457,9340,2755,7709
458,9355,2708,7704
459,9368,2661,7704
460,9376,2615,7704
461,9389,2566,7706
462,9404,2566,7707
463,9404,2517,7710
464,9416,2469,7718
465,9430,2420,7724
466,9445,2374,7732
467,9461,2334,7741
468,9472,2294,7741
469,9485,2294,7755
470,9485,2249,7761
471,9499,2208,7769
472,9513,2169,7775
473,9527,2136,7782
474,9535,2101,7789
475,9544,2074,7789
476,9556,2074,7794
477,9556,2051,7797
478,9561,2028,7803
479,9566,2007,7812
480,9571,1986,7813
481,9576,1967,7819
482,9580,1945,7819
483,9590,1945,7826
484,9590,1920,7836
485,9600,1896,7846
486,9608,1870,7856
487,9611,1845,7857
488,9619,1824,7859
489,9626,1804,7859
490,9633,1804,7864
491,9633,1785,7866
492,9639,1766,7867
493,9646,1747,7866
494,9656,1725,7868
495,9665,1703,7870
496,9682,1682,7870
497,9692,1682,7876
498,9702,1663,7877
499,9702,1651,7882
500,9708,1640,7880
501,9716,1635,7883
502,9722,1635,7882
503,9728,1636,7882
504,9727,1636,7878
505,9729,1643,7875
506,9729,1653,7875
507,9729,1660,7873
508,9732,1665,7873
509,9735,1675,7878
510,9734,1689,7878
511,9732,1689,7874
512,9732,1705,7873
513,9732,1722,7876
514,9732,1746,7878
515,9728,1775,7886
516,9724,1808,7894
517,9716,1843,7894
518,9705,1843,7900
519,9700,1885,7907
520,9700,1928,7913
521,9692,1975,7922
522,9686,2022,7932
523,9673,2075,7941
524,9666,2126,7941
525,9655,2126,7955
526,9646,2185,7972
527,9646,2240,7986
528,9637,2295,7999
529,9625,2347,8010
530,9617,2402,8020
531,9602,2453,8020
532,9589,2453,8034
533,9580,2503,8049
534,9580,2554,8064
535,9567,2606,8074
536,9556,2653,8086
537,9541,2700,8101
538,9528,2740,8101
539,9516,2740,8107
540,9506,2780,8111
541,9506,2816,8117
542,9497,2849,8126
543,9483,2887,8133
544,9473,2922,8139
545,9462,2952,8139
546,9450,2952,8146
547,9443,2985,8156
548,9443,3021,8151
549,9436,3055,8153
550,9422,3090,8157
551,9412,3121,8159
552,9402,3151,8159
553,9394,3178,8158
554,9387,3178,8156
555,9387,3205,8153
556,9384,3227,8155
557,9376,3249,8157
558,9363,3271,8157
559,9358,3291,8157
560,9349,3319,8161
561,9343,3319,8162
562,9343,3353,8167
563,9333,3385,8170
564,9323,3426,8169
565,9315,3463,8173
566,9304,3499,8173
567,9295,3534,8167
568,9288,3534,8166
569,9288,3567,8167
570,9282,3601,8170
571,9273,3636,8172
572,9265,3677,8173
573,9256,3719,8173
574,9245,3764,8182
575,9234,3764,8185
576,9234,3812,8188
577,9227,3859,8192
578,9217,3900,8188
579,9211,3946,8190
580,9198,3988,8190
581,9192,4032,8193
582,9184,4032,8196
583,9184,4073,8199
584,9176,4114,8206
585,9165,4156,8211
586,9156,4200,8221
587,9153,4243,8221
588,9145,4286,8234
589,9139,4286,8240
590,9139,4326,8241
591,9131,4366,8245
592,9123,4409,8252
593,9114,4446,8259
594,9102,4491,8259
595,9091,4538,8263
596,9081,4538,8264
597,9081,4584,8265
598,9069,4630,8269
599,9059,4675,8270
600,9052,4717,8271
601,9041,4756,8271
602,9030,4790,8279
603,9019,4790,8286
604,9019,4826,8287
605,9011,4857,8287
606,9001,4889,8294
607,8991,4917,8291
608,8980,4948,8291
609,8971,4977,8287
610,8960,4977,8288
611,8960,5001,8284
612,8953,5024,8282
613,8944,5050,8279
