1,7491,5975,10636
2,7496,5976,10578
3,7496,5976,10578
4,7496,5973,10516
5,7483,5968,10460
6,7471,5968,10460
7,7471,5964,10406
8,7453,5956,10368
9,7425,5956,10368
10,7425,5944,10330
11,7396,5929,10300
12,7366,5929,10300
13,7366,5912,10279
14,7335,5886,10279
15,7298,5886,10254
16,7298,5863,10235
17,7268,5838,10235
18,7268,5838,10226
19,7235,5815,10217
20,7208,5796,10217
21,7208,5796,10208
22,7183,5773,10194
23,7155,5747,10194
24,7155,5747,10179
25,7133,5722,10171
26,7108,5698,10171
27,7108,5698,10162
28,7082,5677,10158
29,7018,5677,10158
30,7018,5678,10125
31,6910,5629,10048
32,6902,5629,10048
33,6902,5604,10111
34,6901,5606,10150
35,6853,5606,10150
36,6853,5576,10107
37,6822,5560,10107
38,6810,5560,10117
39,6810,5532,10129
40,6806,5491,10129
41,6806,5491,10138
42,6813,5455,10169
43,6818,5432,10169
44,6818,5432,10212
45,6817,5433,10249
46,6813,5458,10249
47,6813,5458,10286
48,6798,5498,10307
49,6775,5556,10307
50,6775,5556,10321
51,6753,5620,10324
52,6733,5620,10324
53,6733,5689,10312
54,6716,5750,10286
55,6708,5750,10286
56,6708,5804,10258
57,6702,5860,10202
58,6702,5860,10202
59,6702,5887,10133
60,6717,5921,10113
61,6739,5921,10113
62,6739,5957,10084
63,6762,5980,10084
64,6781,5980,10048
65,6781,6010,10026
66,6802,6040,10026
67,6802,6040,10005
68,6827,6065,9981
69,6856,6092,9981
70,6856,6092,9968
71,6887,6115,9960
72,6923,6115,9960
73,6923,6139,9956
74,6962,6163,9956
75,6962,6163,9962
76,7000,6188,9970
77,7036,6188,9970
78,7036,6216,9979
79,7072,6245,9979
80,7072,6245,9993
81,7112,6273,10017
82,7149,6299,10017
83,7149,6299,10037
84,7188,6326,10058
85,7227,6326,10058
86,7227,6353,10086
87,7274,6383,10109
88,7316,6383,10109
89,7316,6412,10129
90,7356,6440,10148
91,7397,6440,10148
92,7397,6466,10164
93,7433,6495,10177
94,7468,6495,10177
95,7468,6518,10189
96,7502,6538,10189
97,7533,6538,10197
98,7533,6555,10201
99,7562,6571,10201
100,7562,6571,10203
101,7591,6580,10199
102,7611,6579,10199
103,7611,6579,10188
104,7637,6578,10171
105,7659,6571,10171
106,7659,6571,10153
107,7676,6557,10127
108,7692,6542,10127
109,7692,6542,10104
110,7705,6527,10079
111,7716,6527,10079
112,7716,6511,10056
113,7723,6492,10034
114,7726,6492,10034
115,7726,6477,10011
116,7726,6458,9990
117,7724,6458,9990
118,7724,6437,9969
119,7722,6413,9969
120,7722,6413,9955
121,7718,6387,9948
122,7714,6387,9948
123,7714,6360,9935
124,7710,6332,9935
125,7710,6332,9925
126,7702,6308,9921
127,7694,6308,9921
128,7694,6283,9917
129,7682,6258,9917
130,7682,6258,9914
131,7668,6233,9912
132,7652,6209,9912
133,7652,6209,9909
134,7638,6182,9904
135,7560,6182,9904
136,7560,6164,9858
137,7534,6130,9858
138,7534,6130,9847
139,7536,6116,9877
140,7520,6116,9877
141,7520,6098,9875
142,7503,6084,9875
143,7503,6084,9859
144,7495,6072,9842
145,7498,6072,9842
146,7498,6054,9829
147,7508,6036,9829
148,7523,6036,9837
149,7523,6023,9858
150,7534,6021,9858
151,7534,6021,9877
152,7544,6030,9896
153,7548,6030,9896
154,7548,6057,9917
155,7550,6095,9917
156,7550,6095,9937
157,7545,6139,9957
158,7541,6139,9957
159,7541,6188,9973
160,7533,6235,9973
161,7533,6235,9984
162,7524,6278,9991
163,7518,6278,9991
164,7518,6318,9985
165,7510,6344,9985
166,7504,6344,10001
167,7504,6365,10009
168,7501,6381,10009
169,7501,6381,10016
170,7502,6390,10029
171,7502,6396,10029
172,7502,6396,10042
173,7508,6401,10062
174,7508,6406,10062
175,7508,6406,10085
176,7513,6409,10109
177,7518,6409,10109
178,7518,6411,10129
179,7525,6414,10156
180,7531,6414,10156
181,7531,6418,10175
182,7540,6421,10195
183,7546,6421,10195
184,7546,6430,10214
185,7555,6441,10233
186,7567,6441,10233
187,7567,6459,10245
188,7580,6475,10245
189,7593,6475,10253
190,7593,6491,10260
191,7606,6506,10260
192,7606,6506,10266
193,7618,6521,10275
194,7628,6532,10275
195,7628,6532,10282
196,7637,6538,10292
197,7644,6535,10292
198,7644,6535,10307
199,7649,6530,10321
200,7647,6516,10321
